ParticipantID,scenario,reliable_score,capable_score,ethical_score,sincere_score,scenario_num,push_reliable_score,push_capable_score,push_ethical_score,push_sincere_score,Push_Direction,name,value,measured_dimension,pushed_dimension,change_magnitude,PAS_sum,Knowledgeable,Experience_Rate,original_sample,scenario_order
107554,S,7,7,6.333333333333333,6.5,3,7,7,7,7,UP,delta_S,0.5,S,S,0.5,NA,6,7,YES,first
107554,S,7,7,6.333333333333333,6.5,3,7,7,7,7,UP,delta_E,0.666666666666667,E,S,0.666666666666667,NA,6,7,YES,first
107554,C,6.5,6.5,6,7,4,6,7,6,7,UP,delta_E,0,E,C,0,NA,6,7,YES,fourth
107554,C,6.5,6.5,6,7,4,6,7,6,7,UP,delta_R,-0.5,R,C,0.5,NA,6,7,YES,fourth
107554,S,7,7,6.333333333333333,6.5,3,7,7,7,7,UP,delta_C,0,C,S,0,NA,6,7,YES,first
107554,C,6.5,6.5,6,7,4,6,7,6,7,UP,delta_C,0.5,C,C,0.5,NA,6,7,YES,fourth
107554,S,7,7,6.333333333333333,6.5,3,7,7,7,7,UP,delta_R,0,R,S,0,NA,6,7,YES,first
107554,C,6.5,6.5,6,7,4,6,7,6,7,UP,delta_S,0,S,C,0,NA,6,7,YES,fourth
107554,E,6.333333333333333,5.666666666666667,6,7,2,5.333333333333333,6.333333333333333,6,4,UP,delta_C,0.6666666666666661,C,E,0.6666666666666661,NA,6,7,YES,second
107554,E,6.333333333333333,5.666666666666667,6,7,2,5.333333333333333,6.333333333333333,6,4,UP,delta_S,-3,S,E,3,NA,6,7,YES,second
107554,E,6.333333333333333,5.666666666666667,6,7,2,5.333333333333333,6.333333333333333,6,4,UP,delta_E,0,E,E,0,NA,6,7,YES,second
107554,E,6.333333333333333,5.666666666666667,6,7,2,5.333333333333333,6.333333333333333,6,4,UP,delta_R,-1,R,E,1,NA,6,7,YES,second
111500,S,5.25,5.75,4.25,4.75,1,5.25,5,4.5,5.333333333333333,UP,delta_R,0,R,S,0,51,2,2,YES,third
111500,S,5.25,5.75,4.25,4.75,1,5.25,5,4.5,5.333333333333333,UP,delta_C,-0.75,C,S,0.75,51,2,2,YES,third
